signature,entropy,frequency,bug_count
"js::TraceRecorder::traverseScopeChain(JSObject*, nanojit::LIns*, JSObject*, nanojit::LIns*&)",0.5525218976216096,1386,1
InitScopeForObject,0.2888265353657058,13,1
nsXULElement::InternalGetExistingAttrNameFromQName(nsAString_internal const&),0.18909255736720781,5,1
pixman_fill_mmx,0.18909255736720781,5,1
nsMenuBarListener::KeyPress(nsIDOMEvent*),0.24431319529261405,8,1
"gfxAlphaRecovery::RecoverAlphaSSE2(gfxImageSurface*, gfxImageSurface const*)",0.22862461710944693,7,1
"nsSocketInputStream::Read(char*, unsigned int, unsigned int*)",0.42265976824592894,1096,1
"nsContentUtils::MatchElementId(nsIContent*, nsIAtom*)",0.0,1,1
InsertRuleByWeight,0.08143773176420468,2,1
je_free | nsPrefBranch::`vector deleting destructor''(unsigned int),0.3574990234903447,226,1
img_data_lock,0.18909255736720781,5,1
nsVoidArray::IndexOf(void*),0.47347416107342905,506,1
"v8::internal::DigitGen(v8::internal::DiyFp, v8::internal::DiyFp, v8::internal::DiyFp, v8::internal::Vector<char>, int*, int*)",0.3002776404726907,87,1
js_AllocStack,0.0,1,6
CFDictionaryGetValue,0.20535669374824558,7,2
mscorwks.dll@0x95ca3,0.5155513453525945,498,1
nsPrintEngine::InstallPrintPreviewListener(),0.1290757509900526,3,1
DeepCopySetInLRS,0.0,1,1
dlopen,0.21132330912970942,11,1
"operator new(unsigned int) | mozilla::plugins::PPluginModuleParent::SendPPluginIdentifierConstructor(mozilla::plugins::PPluginIdentifierParent*, nsCString const&, int const&)",0.0,1,1
WrappedNativeTearoffSweeper,0.45944399419452775,73,1
yy_reduce,0.4298526290618564,65,1
_cairo_matrix_compute_basis_scale_factors,0.0,1,1
PR_Lock,0.23795519642573065,10,5
nsAString_internal::Assign,0.1290757509900526,3,1
RtlpWaitOnCriticalSection | RtlAddAccessAllowedAce | winMutexEnter,0.0,1,1
"nsACString_internal::ReplacePrep(unsigned int, unsigned int, unsigned int)",0.07478392981391614,3,1
"js::PropertyTree::removeChild(JSContext*, js::Shape*)",0.08143773176420468,2,1
XPCNativeSet::Mark,0.0,1,1
js::gc::ScanObject,0.6108798089061835,1164,3
OBJ_TO_INNER_OBJECT,0.16287546352840937,4,2
nsHttpConnectionMgr::nsConnectionEntry::~nsConnectionEntry(),0.0,1,1
nsCycleCollector::MarkRoots(GCGraphBuilder&),0.6022323563540687,1859,4
pctbdcore.dll@0xae56f,0.18909255736720781,5,1
"nsTHashtable<nsBaseHashtableET<nsURIHashKey, CacheScriptEntry> >::s_HashKey(PLDHashTable*, void const*)",0.5097496886986325,235,2
F1451247872___________________________,0.36862751236155417,42,2
F1494925220_______________,0.18336757216618904,6,1
F351981279____________________________,0.5009978718931037,204,1
jvm.dll@0xc87b2,0.41595313448695487,68,1
PR_Write,0.3489349308390333,31,1
js_GetReservedSlot,0.2581515019801053,9,1
XPCWrappedNative::FinishInit(XPCCallContext&),0.29195121451846195,12,1
WrappedNativeJSGCThingTracer,0.5460141905883863,180,1
RtlpWaitOnCriticalSection | RtlpDeCommitFreeBlock | idmmbc.dll@0xe99d,0.28358163325946767,75,1
PlaceholderMapMatchEntry,0.2817282642151927,11,1
hang | NtUserWaitMessage | DialogBox2,0.5120050289466124,1119,1
nsCookieService::EnsureReadDomain(nsCString const&),0.2151262516500877,9,1
call_resolve,0.24431319529261405,8,2
"js::StackSpace::pushSegmentForInvoke(JSContext*, unsigned int, js::InvokeArgsGuard*)",0.08143773176420468,2,1
nsGlobalWindow::GetLocalStorage(nsIDOMStorage**),0.2542427427785716,10,3
args_or_call_trace,0.20535669374824558,7,1
nsLoadGroupConstructor,0.0,1,1
nsCSSFrameConstructor::SetUpDocElementContainingBlock(nsIContent*),0.11882969667116276,6,1
"nsHtml5TreeBuilder::startTag(nsHtml5ElementName*, nsHtml5HtmlAttributes*, int)",0.16287546352840937,8,1
"nsRuleNode::GetStyleFont(nsStyleContext*, int)",0.24431319529261405,8,1
PR_Poll,0.16287546352840937,4,1
F1559406643________________________________________,0.5561415771442769,401,1
"JSC::X86Assembler::X86InstructionFormatter::oneByteOp(JSC::X86Assembler::OneByteOpcodeID, int, JSC::X86Registers::RegisterID)",0.12215659764630703,4,1
XPCNativeScriptableInfo::Mark(),0.22862461710944693,7,1
sqlite3RowSetClear,0.16287546352840937,4,1
F397804670____________________________,0.08338523708687817,179,1
"js::Shape::get(JSContext*, JSObject*, JSObject*, JSObject*, js::Value*)",0.4301935363238511,54,1
npswf32.dll@0x18e324,0.2547905825367515,39,1
SelectionDescendToKids,0.21051348275425724,6,1
Abort,0.4653901301760035,102,3
"js::mjit::EnterMethodJIT(JSContext*, JSStackFrame*, void*, js::Value*)",0.6023856727464769,5828,4
_moz_cairo_scaled_font_status,0.11164710677317627,5,1
F1046602669___________________________,0.22862461710944693,7,1
OSServices@0x56cc7,0.23184183509252804,28,1
_cairo_dwrite_font_face_scaled_font_create,0.439487852026827,506,4
nsObjectFrame::CallSetWindow,0.1290757509900526,3,3
VirtualAllocEx,0.5383563720938562,2460,2
"nsTHashtable<nsBaseHashtableET<nsURIHashKey, nsRefPtr<nsCSSStyleSheet> > >::s_HashKey(PLDHashTable*, void const*)",0.5097496886986325,235,1
TimerThread::Run(),0.4709177946220119,95,1
"_cairo_d2d_create_brush_for_pattern(_cairo_d2d_surface*, _cairo_pattern const*, bool)",0.28593483167261075,19,2
dtoa,0.4630372329807004,671,2
msvcr80.dll@0xf880,0.16287546352840937,4,2
@0x0 | NS_InvokeByIndex_P,0.2581515019801053,9,2
nsNPAPIPluginInstance::InitializePlugin(),0.1765949256637902,19,1
libc-2.11.3.so@0x32ab5,0.15622166157812084,6,1
"@0x0 | nsFrameManager::ReResolveStyleContext(nsPresContext*, nsIFrame*, nsIContent*, nsStyleChangeList*, nsChangeHint, nsRestyleHint, mozilla::css::RestyleTracker&, nsFrameManager::DesiredA11yNotifications, nsTArray<nsIContent*, nsTArrayDefaultAllocato...",0.5510281151025537,289,1
nsImageBoxFrame::UpdateImage(),0.21051348275425724,6,1
kernelbase.dll@0x9673,0.3540078920477835,292,1
nsThreadManager::GetMainThread(nsIThread**),0.20535669374824558,7,1
"JSC::Yarr::Interpreter::matchDisjunction(JSC::Yarr::ByteDisjunction*, JSC::Yarr::Interpreter::DisjunctionContext*, bool, bool)",0.30639052258509064,23,1
js_Interpret:4436,0.16287546352840937,4,1
js::gc::MarkKind,0.47833338309274753,128,1
"nsGfxScrollFrameInner::InternalScrollPositionDidChange(int, int)",0.0,1,1
nsDocShell::EnsureContentViewer(),0.47496268505045536,157,2
nsIContent::IsInNamespace(int),0.35981599098863254,24,1
@0x0 | WSASocketW,0.3051015224221809,20,1
mono-1-vc.dll@0x83dcf,0.49400616906706857,157,1
strlen | nsDependentCString::nsDependentCString(char const*),0.31508627534816314,56,9
GraphWalker<ScanBlackVisitor>::DoWalk(nsDeque&),0.6214788511243832,3709,1
gfxTextRun::AllocateDetailedGlyphs,0.0,1,1
qcms_transform_data_rgba_out_lut_sse,0.0,8,1
"nsIOService::NewURI(nsACString_internal const&, char const*, nsIURI*, nsIURI**)",0.24431319529261405,8,1
nsQueryInterfaceWithError::operator(),0.0,1,1
pmxg.dll@0x9ef3,0.07478392981391614,3,1
"UniscribeItem::IsGlyphMissing(SCRIPT_FONTPROPERTIES*, unsigned int)",0.2993274359712291,37,1
js_FillPropertyCache,0.2705302891314126,10,2
nsIDOMElementCSSInlineStyle_GetStyle,0.16287546352840937,4,1
hang | F351981279____________________________,0.5566330314377868,332,1
isalloc,0.44098415524136864,188,1
je_malloc,0.4956627282714291,102,1
mozalloc_abort(char const* const) | NS_DebugBreak_P | gfxFontGroup::BuildFontList(),0.4158955839454549,67,1
NtQueryInformationProcess,0.0,1,1
"nsRuleNode::WalkRuleTree(nsStyleStructID, nsStyleContext*, nsRuleData*, nsCSSStruct*)",0.42866004496212723,71,1
js_TraceWatchPoints,0.0,1,1
"nsStringInputStream::ReadSegments(unsigned int (*)(nsIInputStream*, void*, char const*, unsigned int, unsigned int, unsigned int*), void*, unsigned int, unsigned int*)",0.1290757509900526,3,1
"js::PropertyTable::search(int, bool)",0.6277692358221941,1170,4
nsGenericElement::GetPrimaryFrame(mozFlushType),0.16287546352840937,4,1
"nsStyleSet::AddImportantRules(nsRuleNode*, nsRuleNode*)",0.08143773176420468,2,3
"mozilla::css::SheetLoadData::OnStreamComplete(nsIUnicharStreamLoader*, nsISupports*, unsigned int, nsAString_internal const&)",0.44909698096347744,171,1
WSARecv,0.3385493051435033,128,1
MatchString,0.30051471913845407,17,1
FinalizeArenaList<js::Shape>,0.1290757509900526,3,1
"nsIFrame::InvalidateInternalAfterResize(nsRect const&, int, int, unsigned int)",0.18336757216618904,6,1
chromehang | ZwQueryDirectoryFile,0.2811897908051327,16,1
F_1440603502__________________,0.525069074169903,241,1
js::Shape::trace,0.5019514374410315,170,3
nsFrame::DestroyFrom(nsIFrame*),0.5263253950312947,198,2
js_GetGCThingTraceKind,0.5927511064245335,706,4
JS_ConvertStub,0.5692793864794163,424,1
js::types::TypeScriptNesting::~TypeScriptNesting(),0.42949781599790166,58,2
hang | NtUserSetWindowPos,0.5289073629454488,1163,1
"memmove | nsTArray_base::ShiftData(unsigned int, unsigned int, unsigned int, unsigned int)",0.38874767588623776,30,11
"_cairo_d2d_surface_init(_cairo_d2d_surface*, _cairo_d2d_device*, _cairo_format)",0.45832086722173376,153,1
"mozalloc_abort(char const* const) | NS_DebugBreak_P | mozilla::plugins::PPluginInstance::Transition(mozilla::plugins::PPluginInstance::State, mozilla::ipc::Trigger, mozilla::plugins::PPluginInstance::State*)",0.40119711060925484,39,1
SocketConnect,0.4049983031385849,183,1
"nsGlobalWindow::Observe(nsISupports*, char const*, unsigned short const*)",0.08143773176420468,2,1
"nsEventStateManager::GetContentState(nsIContent*, int)",0.08143773176420468,2,1
nsEventListenerManager::Release(),0.5304476388637812,218,2
nsINode::GetSlots(),0.08143773176420468,2,1
"nsTArray<nsHttpHeaderArray::nsEntry, nsTArrayDefaultAllocator>::IndexOf<nsHttpAtom, nsHttpHeaderArray::nsEntry::MatchHeader> | nsHttpHeaderArray::LookupEntry",0.0,1,1
"js::mjit::EnterMethodJIT(JSContext*, js::StackFrame*, void*, js::Value*)",0.6023856727464769,5828,5
nsCycleCollector::CollectWhite(nsICycleCollectorListener*),0.5075032852051332,125,1
sblsp.dll@0x4f6f,0.38470159710647756,44,1
JSObject::unwrap(unsigned int*),0.37338894628266667,24,2
JSObject::getGlobal,0.6198136376250165,14807,1
nsStyleContext::Release(),0.5198420772489716,178,2
"nsGfxScrollFrameInner::BuildDisplayList(nsDisplayListBuilder*, nsRect const&, nsDisplayListSet const&)",0.4477278858245629,86,1
zzz_AsmCodeRange_End,0.6332062770369321,3059,2
"js_XDRFunctionObject(JSXDRState*, JSObject**)",0.39244867250726495,64,1
@0x0 | F1650855128_____________________________,0.3804592141025964,31,1
"JSObject::nativeSearch(int, bool)",0.4938836888533128,169,2
XPCNativeSet::IsMarked(),0.1290757509900526,3,1
je_free | mozutils.dll@0x2a3f,0.3904657034808163,36,1
hang | NtUserGetMessage,0.6422915526784094,10572,1
RgnRectMemoryAllocator::Alloc,0.08143773176420468,2,1
BaseThreadStart,0.5431422597216011,1129,1
js_XDRAtom,0.29753636045021525,26,1
libawt.jnilib@0x2480,0.1290757509900526,3,1
@0x0 | datamngr.dll@0xd2f1,0.5597617144253467,1788,1
F_629364644________________________,0.15651746466152594,5,1
nsIFrame::PeekOffset(nsPeekOffsetStruct*),0.08143773176420468,2,2
"nsFrameManager::ReResolveStyleContext(nsPresContext*, nsIFrame*, nsIContent*, nsStyleChangeList*, nsChangeHint, nsRestyleHint, mozilla::css::RestyleTracker&, nsFrameManager::DesiredA11yNotifications, nsTArray<nsIContent*, nsTArrayDefaultAllocator>&, Tr...",0.5510281151025537,289,1
js_DefaultValue,0.1290757509900526,3,1
MultiByteToWideChar,0.35370805663067817,55,2
nsINode::GetFlags(),0.33054059688162035,18,3
sftk_handleKeyObject,0.0,1,1
F1091364253_____________,0.3646553460506084,75,1
gfxASurface::AddRef(),0.28679442551245027,14,1
"nsTreeBodyFrame::HandleEvent(nsPresContext*, nsGUIEvent*, nsEventStatus*)",0.08143773176420468,2,1
objc_exception_throw | -[NSException raise] | registerNatives,0.1290757509900526,3,1
readCPPline,0.0,1,1
"js::analyze::Bytecode::mergeDefines(JSContext*, js::analyze::ScriptAnalysis*, bool, unsigned int, unsigned int*, unsigned int)",0.45359902677245584,123,1
"_purecall | nsCOMPtr_base::assign_from_qi(nsQueryInterface, nsID const&) | nsContentUtils::CanCallerAccess(nsPIDOMWindow*)",0.45101442848152495,124,1
JSC::Yarr::execute,0.5599132263392933,347,1
free,0.08143773176420468,2,3
xul.dll@0x19295d,0.24431319529261405,8,1
@0x0 | nsIEProfileMigrator::CopyPasswords(int),0.4341584298915318,85,1
wdrvprg.dll@0x3db0,0.3315050006471867,21,1
arena_dalloc_small | arena_dalloc | free | sqlite3_free | sqlite3DbFree,0.1290757509900526,3,1
"nsAString_internal::MutatePrep(unsigned int, unsigned short**, unsigned int*)",0.2581515019801053,9,1
XPCJSContextStack::Pop,0.5271381826421216,272,3
mozilla::layers::DeviceManagerD3D9::VerifyReadyForRendering(),0.4299916085407379,229,1
mozcomp.dll@0x9305,0.35685543744125026,41,1
"js_NextActiveContext(JSRuntime*, JSContext*)",0.4582976841377719,118,1
"nsQueryInterface::operator()(nsID const&, void**)",0.39096730852378414,31,1
GetTopLevelWindowActiveState,0.07478392981391614,3,1
"nsPrintEngine::DoCommonPrint(int, nsIPrintSettings*, nsIWebProgressListener*)",0.22862461710944693,7,1
nsAStreamCopier::Process(),0.257828383080379,20,1
FinderKit@0x78ec6,0.2420964375306899,198,1
jvm.dll@0x5e4e4,0.5460004667318746,676,1
arena_dalloc_small | arena_dalloc | free | sqlite3_free | pcache1TruncateUnsafe,0.32575092705681874,16,1
nsVoidArray::Count(),0.3300724674353566,41,1
"js::Vector<wchar_t, int, js::TempAllocPolicy>::infallibleAppend<wchar_t>(wchar_t const*, unsigned int)",0.601919081560302,3209,1
"nsJARInputStream::InitFile(nsZipHandle*, nsZipItem*)",0.0,1,1
JVM_Lseek,0.21051348275425724,6,1
nsCSSFrameConstructor::GetInsertionPoint,0.0,1,1
ffplugin.dll@0x174524,0.3275367013663557,20,1
canonicalize,0.525391225970144,131,2
nsWeakFrame::InitInternal(nsIFrame*),0.35770036809949934,21,6
nsObjectFrame::TryNotifyContentObjectWrapper,0.4639455657404319,118,1
"nsGenericElement::FindAttrValueIn(int, nsIAtom*, nsIAtom* const* const*, nsCaseTreatment)",0.0,1,1
@0x0 | GCGraphBuilder::NoteXPCOMChild(nsISupports*),0.5897536480330535,2263,1
"strstr | nsFileOutputStream::Write(char const*, unsigned int, unsigned int*)",0.32783944771077794,139,1
"_purecall | nsDisplayList::ComputeVisibilityForSublist(nsDisplayListBuilder*, nsRegion*, nsRect const&, nsRect const&)",0.5016605304062538,137,1
ScanBlackWalker::ShouldVisitNode(PtrInfo const*),0.4873834440375954,111,1
_pthread_tsd_cleanup,0.0,1,1
nsCSSValue::GetStringValue(nsAString_internal&),0.18208877038704424,7,1
XPCWrappedNative::GetScope(),0.1290757509900526,3,1
"nsExpirationTracker<imgCacheEntry, int>::RemoveObject(imgCacheEntry*)",0.4690867925334919,72,1
cell_list_render_edge,0.1290757509900526,3,1
MakeDay,0.23765939334232544,12,1
"nsFrame::BoxReflow(nsBoxLayoutState&, nsPresContext*, nsHTMLReflowMetrics&, nsRenderingContext*, int, int, int, int, int)",0.5284829574579331,341,1
nsProxyObject::LockedFind,0.07478392981391614,3,1
xpc_TraceForValidWrapper,0.0,2,1
`anonymous namespace''::TimerExpiredTask::`scalar deleting destructor''(unsigned int),0.16287546352840937,4,1
"XPCNativeSet::FindMember(int, XPCNativeMember**, unsigned short*)",0.3315050006471867,21,1
@0x0 | nsCycleCollector::MarkRoots(GCGraphBuilder&),0.6032128610949441,1891,1
"imgContainer::GetFrameAt(unsigned int, gfxIImageFrame**)",0.08143773176420468,2,2
FileWrite,0.22862461710944693,7,1
NewGCThing<JSObject>,0.5052635692831825,146,1
gfxFontFamily::FindFontForChar(FontSearch*),0.352074161453,30,2
GCGraphBuilder::NoteXPCOMChild(nsISupports*),0.588411279996408,2208,3
CreateFileW,0.3930845773261024,73,1
nsHttpConnection::EndIdleMonitoring(),0.3740491381169553,28,3
nsProxyObjectCallInfo::Run(),0.32446288507068877,20,1
js_CheckForStringIndex(int),0.5761225785020988,398,2
"js::SetFlatUpvar(JSContext*, JSObject*, int, js::Value*)",0.12394237195584407,5,1
"nsPluginHost::GetPluginName(nsIPluginInstance*, char const**)",0.20535669374824558,7,3
"nsSubDocumentFrame::Reflow(nsPresContext*, nsHTMLReflowMetrics&, nsHTMLReflowState const&, unsigned int&)",0.321491960018931,18,2
"nsDocument::ContentAppended(nsIDocument*, nsIContent*, int)",0.3598047081249484,29,1
ycc_rgb_convert_argb,0.3208779764002988,78,2
@0x0 | nsFrameList::DestroyFrames(),0.08143773176420468,2,1
mscorwks.dll@0x95873,0.5155513453525945,498,1
nsAccessible::NativeState(),0.21051348275425724,6,3
strchr | XPT_DoCString,0.4036363293345685,54,1
"operator new(unsigned int) | js::Parser::markFunArgs(JSFunctionBox*, unsigned int)",0.16287546352840937,4,1
"js::mjit::stubs::UncachedNewHelper(js::VMFrame&, unsigned int, js::mjit::stubs::UncachedCallResult*)",0.0,1,1
@0x0 | AddPurpleRoot,0.08143773176420468,2,1
nsBidiPresUtils::TraverseFrames,0.0,1,1
"XPCCallContext::Init(XPCContext::LangType, int, JSObject*, JSObject*, int, int, unsigned int, unsigned __int64*, unsigned __int64*)",0.32754705324111943,24,1
PR_JoinThread,0.5779009967099263,1800,2
js::mjit::stubs::GetElem,0.1290757509900526,3,1
skypeffcomponent.dll@0x190047,0.34284202943656533,26,1
nsGlobalWindow::DispatchDOMWindowCreated(),0.14597560725923098,6,1
VP3VideoDecoder_DecodeFrameCompleteCallback,0.0,1,1
pixman_multiply_overflows_int,0.0,1,1
arena_dalloc | free | JSAutoByteString::~JSAutoByteString(),0.07029058134309712,7,1
nsAccessible::AsHyperText(),0.33443244473829803,21,1
F1243454957________________,0.0,1,1
"nsWindow::IPCWindowProcHandler(unsigned int&, unsigned int&, long&)",0.21147682037285181,15,1
JSObject::nativeLookup(int),0.24431319529261405,8,1
nsFrameManager::CaptureFrameStateFor,0.0,1,3
_vorbis_block_ripcord,0.0,1,1
"js::gc::MarkObjectRange(JSTracer*, unsigned int, JSObject**, char const*)",0.523979005953991,236,1
nsFrameManager::ReResolveStyleContext,0.2888265353657058,13,8
"js::mjit::ic::GetProp(js::VMFrame&, js::mjit::ic::PICInfo*)",0.49027976974422327,148,1
DocumentViewerImpl::SetBounds(nsIntRect const&),0.3973093311614876,100,2
npswf32.dll@0x138798,0.15651746466152594,5,1
"js::gc::Arena::finalize<JSObject>(JSContext*, js::gc::AllocKind, unsigned int)",0.5994784645839574,1418,1
_clip_and_composite_trapezoids,0.3356804745427763,20,1
nsCycleCollector::CollectWhite,0.16287546352840937,4,1
PluginWndProc,0.2581515019801053,9,1
_class_isInitialized,0.24431319529261405,8,1
mozilla::widget::WindowHook::Lookup(unsigned int),0.4656442798052339,763,2
trace_local_names_enumerator,0.31939292818993537,20,1
hang | deinit_image,0.2705302891314126,10,1
nsDisplayList::GetBounds(nsDisplayListBuilder*),0.24005422825472644,9,1
hang | google_breakpad::ExceptionHandler::WriteMinidump,0.5533892463226361,215,1
NS_StackWalk,0.0,1,1
js::gc::ScanShape,0.617834483817525,1264,4
js::mjit::JITScript::nativeToPC,0.0,1,1
hang | RtlpWaitForCriticalSection | RtlEnterCriticalSection,0.5895059690283307,1215,2
F_1339296399_____________________________,0.5251161002607161,149,1
JS_XDRString,0.30763946119762525,108,5
JS_CallTracer,0.6081244622010555,802,20
js_FinalizeObject,0.18909255736720781,5,1
nsRuleNode::GetBorderData(nsStyleContext*),0.0,1,1
js::gc::PushMarkStack,0.6382287563242569,3777,3
"gfxTextRun::CopyGlyphDataFrom(gfxTextRun*, unsigned int, unsigned int, unsigned int, int)",0.0,1,1
nsHtml5AttributeName::initializeStatics(),0.4196247190945935,108,1
nsObjectFrame::GetWindowOriginInPixels(int),0.39617299858893795,60,1
CrashReporter::GetFileContents,0.5022056547358206,1326,1
nsDownloadManager::RemoveDownloadsForURI(nsIURI*),0.5546735239260936,245,1
js::types::CheckNestingParent,0.4285817312827178,46,1
F1219083413________________________________________________________________,0.3155712105862931,16,1
CGLRestoreDispatchFunction,0.07478392981391614,3,1
"js::types::TypeSet::addType(JSContext*, js::types::Type)",0.5642410919271127,453,2
objc_msgSend | imgRequestProxy::OnStopFrame(gfxIImageFrame*),0.23180756383439677,10,1
ClaimTitle,0.2705302891314126,10,3
nsZipItemPtr_base::nsZipItemPtr_base,0.5579820594510287,612,1
quicktimewebhelper.qtx@0xec19,0.46919651061675655,568,2
nsXREDirProvider::DoStartup(),0.0,1,1
"memcpy | nsAString_internal::ReplacePrepInternal(unsigned int, unsigned int, unsigned int, unsigned int)",0.08143773176420468,2,1
nsBaseWidget::AutoUseBasicLayerManager::AutoUseBasicLayerManager,0.0,1,1
nsDocShell::Destroy(),0.24005422825472644,9,1
mozilla::css::StyleRule::RuleMatched,0.0,1,1
F_596512829______________________________,0.35422554141105306,23,1
nsTHashtable<mozilla::places::History::KeyClass>::s_HashKey,0.3940379455907879,54,2
"nsBlockReflowState::nsBlockReflowState(nsHTMLReflowState const&, nsPresContext*, nsBlockFrame*, nsHTMLReflowMetrics const&, int, int, int)",0.33361114274231984,47,1
mozalloc_abort(char const* const) | mozalloc_handle_oom() | nsHtml5TreeBuilder::flushCharacters(),0.4027724927763462,42,1
je_free | CloseDir,0.48815819778740505,258,1
libsystem_c.dylib@0xa24f0,0.43049763209515857,146,1
objc_msgSend | getContext_ADCM,0.07478392981391614,3,1
nsDisplayWrapList::GetBounds(nsDisplayListBuilder*),0.5135714586549129,189,1
nsXULTreeAccessible::GetChildCount(),0.5893721947381978,7105,2
nsXULTextFieldAccessible::NativeRole(),0.39132294876127344,54,3
msvcrt.dll@0x2070,0.31006234887365164,14,1
hang | F_1090611750__________________,0.6168420365154228,1210,1
sqlite3Step,0.5355318425140084,325,4
JS_Assert,0.18909255736720781,5,3
nsCOMPtr_base::assign_from_qi | nsContentUtils::CanCallerAccess,0.0,1,1
hang | NtGdiDdLock,0.24252929267107742,14,1
"nsXULTemplateQueryProcessorRDF::cycleCollection::Traverse(void*, nsCycleCollectionTraversalCallback&)",0.1290757509900526,3,2
@0x1b2710,0.4151300865216222,202,1
"nsBaseAppShell::OnProcessNextEvent(nsIThreadInternal*, int, unsigned int)",0.44406525433354216,64,1
mozalloc_abort(char const* const) | NS_DebugBreak_P | AbortIfOffMainThreadIfCheckFast,0.5576525763854628,778,5
"nsChromeTreeOwner::OnLocationChange(nsIWebProgress*, nsIRequest*, nsIURI*)",0.4904543694142758,1891,1
strncmp,0.39126820668694307,39,1
"nsRootAccessible::FireAccessibleFocusEvent(nsAccessible*, nsIContent*, int, EIsFromUserInput)",0.30935112619650496,41,1
PresShell::FlushPendingNotifications(mozFlushType),0.3974307835039236,42,1
"memcpy | NS_CopySegmentToBuffer(nsIInputStream*, void*, char const*, unsigned int, unsigned int, unsigned int*)",0.43765104317790865,56,2
gfxContext::gfxContext,0.12215659764630703,4,6
ClearAllTextRunReferences,0.5074766053206158,108,2
strcat,0.2151262516500877,9,1
vksaver.dll@0x4917,0.5812872727292551,3568,1
F1111738641______________________,0.18208877038704424,7,1
vksaver.dll@0x3392,0.5812872727292551,3568,1
nsWindow::GetParentWindow(int),0.5199110657177309,199,3
js::types::TypeSet::getKnownTypeTag(JSContext*),0.5642410919271127,453,1
"nsHttpChannel::AsyncOpen(nsIStreamListener*, nsISupports*)",0.18411607863832752,14,1
"_purecall | nsBlockReflowState::nsBlockReflowState(nsHTMLReflowState const&, nsPresContext*, nsBlockFrame*, nsHTMLReflowMetrics const&, int, int, int)",0.33361114274231984,47,1
PL_DHashTableOperate | mozilla::scache::StartupCache::GetBuffer,0.5579820594510287,612,1
AddSelector,0.5686376226636347,394,1
